namespace,system_owner_code,publishable,grsf_sourceoftruth,grsf_creation,grsf_licence,source_link,useLimitation
moz_area,mozpesca,yes,TRUE,from_coordinates,na,hhttps://ecofish-programme.org/wp-content/uploads/2023/03/ECO-2022-39-Fisheries-Mgmt-MOZ.pdf,Source citation https://ecofish-programme.org/wp-content/uploads/2023/03/ECO-2022-39-Fisheries-Mgmt-MOZ.pdf
nic_inpesca_nfz,inpesca,yes,TRUE,from_coordinates,na,https://www.google.com/maps/d/u/0/viewer?mid=13ncRwtkarDwcL6rvU9juMLZUMbD7aY5d&hl=es&ll=14.11714806954449%2C-81.71819550000001&z=8,NA
nzl_fma,Mfish,yes,TRUE,none,CC BY 4.0 DEED,https://data-mpi.opendata.arcgis.com/datasets/MPI::fisheries-management-areas/about,Except where otherwise stated all material on this website is subject to Crown copyright and that material is licensed for use under the Creative Commons Attribution 4.0 New Zealand licence. Find out how you can use certain material on this website under this licence https://www.mpi.govt.nz/about-this-site/mpi-copyright/
nzl_qma,Mfish,yes,TRUE,none,CC BY 4.0 DEED,https://mpi.maps.arcgis.com/home/search.html?t=content&q=tags%3A%22QMA%22,Except where otherwise stated all material on this website is subject to Crown copyright and that material is licensed for use under the Creative Commons Attribution 4.0 New Zealand licence. Find out how you can use certain material on this website under this licence https://www.mpi.govt.nz/about-this-site/mpi-copyright/
pan_cedepesca_sfa,cedepesca,yes,TRUE,from_coordinates,na,https://onlinelibrary.wiley.com/doi/full/10.1002/aqc.3245,NA
pan_cedepesca_smfa,cedepesca,yes,TRUE,from_coordinates,na,http://www.cedepesca.net/wp-content/uploads/2016/05/The_Panama_small_pelagics_fishery.pdf,NA
phl_fma,BFAR,yes,TRUE,from_coordinates,na,https://nsap.nfrdi.da.gov.ph/explorer-light,https://nsap.nfrdi.da.gov.ph/explorer-light
prt_ipma_nrz,ipma,yes,TRUE,from_coordinates,na,https://www.ipma.pt/export/sites/ipma/bin/docs/publicacoes/pescas.mar/RA-estado.recursos.explorados.2020.pdf,NA
rfb,FAO,yes,TRUE,none,fao_copyright,https://www.fao.org/fishery/geoserver/web/wicket/bookmarkable/org.geoserver.web.demo.MapPreviewPage?0&filter=false,FAO ownership https://www.fao.org/fishery/geoserver/web/wicket/bookmarkable/org.geoserver.web.demo.MapPreviewPage?0&filter=false
rus,rus_pca,yes,TRUE,from_coordinates,na,http://russianpollock.com/fishery/fishing-areas/,http://russianpollock.com/fishery/fishing-areas/
siofa,siofa,yes,TRUE,none,na,https://www.apsoi.org/,https://siofa.org/
usa_adfg_g,adfg,yes,TRUE,none,copyright_free,https://alaska-department-of-fish-and-game-adfg.hub.arcgis.com/datasets/adfg::commercial-fisheries-groundfish-registration-areas-2/about,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_ahms,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_cfmc,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_gfmc,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_mafmc,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_nefmc,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_npfmc,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_pfmc,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_phms,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_safmc,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_efh_wpfmc,noaa,yes,TRUE,none,copyright_free,https://www.habitat.noaa.gov/apps/efhmapper,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_fmc,noaa,yes,TRUE,none,copyright_free,https://www.fisheries.noaa.gov/topic/partners/regional-fishery-management-councils-,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_nefsc,nefsc,yes,TRUE,none,copyright_free,https://www.fisheries.noaa.gov/resource/map/greater-atlantic-region-statistical-areas,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
usa_nmfs_ra,nmfs,yes,TRUE,from_coordinates,na,https://media.fisheries.noaa.gov/dam-migration/alaska-fisheries-boundaries-map.pdf,Information within the repository created by or for NOAA is within the public domain. As such these works may be freely distributed and copied however it is requested that in any subsequent uses of this work NOAA be given appropriate acknowledgement (https://repository.library.noaa.gov/Content%20and%20Copyright)
wcpfc,wcpfc,no,TRUE,from_coordinates,copyright,https://www.wcpfc.int/current-stock-status-and-advice,Copyright 2024 Western and Central Pacific Fisheries Commission All rights reserved https://www.wcpfc.int/home
wja,unclos,no,FALSE,none,na,https://www.marineregions.org/eez.php,NA
zaf_wcrl_fa,dffe,yes,TRUE,from_coordinates,na,https://www.dffe.gov.za/fisheries_formsanddocuments,https://www.dffe.gov.za/terms-use
zaf_wcrl_fz,dffe,yes,TRUE,from_coordinates,na,https://www.dffe.gov.za/fisheries_formsanddocuments,https://www.dffe.gov.za/terms-use
